claim_id,category,claim,value_in_repo,status,source_org,source_url,date,confidence,notes
THR-01,threat,Kinzhal speed,Mach 10+,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-02,threat,Kinzhal range,2000-2500 km,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-03,threat,Kinzhal cost,~$10-15M,UNVERIFIED,,, ,,"No reliable public unit-cost figure - mark as estimate"
THR-04,threat,Iskander speed,Mach 6-7,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-05,threat,Iskander range,500 km,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-06,threat,Kalibr speed,Mach 2.5-3,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-07,threat,Kalibr range,1500-2500 km,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-08,threat,Kh-101 range,3000-5500 km,UNVERIFIED,,, ,,"CSIS Missile Threat per-system page"
THR-09,threat,Shahed-136 speed,~185 km/h,UNVERIFIED,,, ,,"HESA datasheets / OSINT trackers"
THR-10,threat,Shahed-136 cost,$20-50K,UNVERIFIED,,, ,,"Wide estimate spread - source needed"
THR-11,threat,casualties per unanswered Kinzhal,~100 avg,UNVERIFIED,,, ,,"UN OHCHR verified figures; needs real data"
COST-01,cost,Patriot battery cost,~$1.5B,UNVERIFIED,,, ,,"CSIS Missile Defense Project; US budget docs"
COST-02,cost,PAC-3 MSE interceptor,$4M/shot,UNVERIFIED,,, ,,"Lockheed Martin / MDA budget"
COST-03,cost,Gepard per engagement,~$1,000,UNVERIFIED,,, ,,"German MoD support lists; ammo pricing"
COST-04,cost,Iron Dome interceptor,~$50K,UNVERIFIED,,, ,,"Rafael fact sheets"
COST-05,cost,C-RAM per engagement,$750,UNVERIFIED,,, ,,"US Army C-RAM program docs"
COST-06,cost,ZU-23-2 per engagement,$200,UNVERIFIED,,, ,,"23mm ammo pricing"
COST-07,cost,EW jamming per engagement,$10,UNVERIFIED,,, ,,"Estimate - hardest to source"
COST-08,cost,HELIOS laser cost,$10-20M,UNVERIFIED,,, ,,"US Navy PEO IWS"
COST-09,cost,Iron Beam laser cost,$20-30M,UNVERIFIED,,, ,,"Rafael disclosures"
COST-10,cost,PHaL laser cost,$15-25M,UNVERIFIED,,, ,,"MBDA press"
COST-11,cost,Ukrainian 50kW laser cost,$5-10M,UNVERIFIED,,, ,,"Ukrainian MoD claims 2024-25"
PERF-01,performance,"Patriot vs Kinzhal intercepts",few confirmed,UNVERIFIED,,, ,,"Ukrainian AF Command; Pentagon statements"
PERF-02,performance,Kinzhal engagement window,~30s,UNVERIFIED,,, ,,"Derived from radar specs - document derivation"
PERF-03,performance,shelter casualty reduction,90%+,UNVERIFIED,,, ,,"Civil-defense effectiveness lit; Israeli HFC studies"
SIM-01,simulation,sensor node cost,$100K-1M,UNVERIFIED,,, ,,"Commercial radar/EO-IR pricing"
SIM-02,simulation,interceptor node cost,$2M-10M,UNVERIFIED,,, ,,"From COST-* sources"
SIM-03,simulation,AI dev cost,$50-300M,UNVERIFIED,,, ,,"Comparable defense-software programs"
SIM-04,simulation,daily Kinzhal rate,median 50,UNVERIFIED,,, ,,"Ukrainian AF daily intercept summaries"
SIM-05,simulation,network availability,beta(8,2),UNVERIFIED,,, ,,"Mesh-network field studies - assumption"
SIM-06,simulation,Patriot baseline hit rate,0.4,UNVERIFIED,,, ,,"From PERF-01 claims"
